Domain,Company,Original_Name,PE Firm,Year,Source
mcgrawhilleducation.com,McGraw Hill Education,McGraw Hill Education,Apollo Global Management companies,Unknown,Wikipedia
michaels.com,Michaels,Michaels,Blackstone Inc. companies,Unknown,Wikipedia
norandamines.com,Noranda Mines,Noranda Mines,Apollo Global Management companies,Unknown,Wikipedia
oceaniacruises.com,Oceania Cruises,Oceania Cruises,Apollo Global Management companies,Unknown,Wikipedia
qdoba.com,Qdoba,Qdoba,Apollo Global Management companies,Unknown,Wikipedia
rackspacetechnology.com,Rackspace Technology,Rackspace Technology,Apollo Global Management companies,Unknown,Wikipedia
redbox.com,Redbox,Redbox,Apollo Global Management companies,Unknown,Wikipedia
regentsevenseascruises.com,Regent Seven Seas Cruises,Regent Seven Seas Cruises,Apollo Global Management companies,Unknown,Wikipedia
restaurant.com,Restaurant,The Restaurant Group,Apollo Global Management companies,Unknown,Wikipedia
shutterfly.com,Shutterfly,Shutterfly,Apollo Global Management companies,Unknown,Wikipedia
smartfinal.com,Smart & Final,Smart & Final,Apollo Global Management companies,Unknown,Wikipedia
sothebysinternationalrealty.com,Sotheby's International Realty,Sotheby's International Realty,Apollo Global Management companies,Unknown,Wikipedia
techdata.com,Tech Data,Tech Data,Apollo Global Management companies,Unknown,Wikipedia
ventia.com,Ventia,Ventia,Apollo Global Management companies,Unknown,Wikipedia
versocorporation.com,Verso Corporation,Verso Corporation,Apollo Global Management companies,Unknown,Wikipedia
yahooinc2017present.com,Yahoo! Inc. (2017–present),Yahoo! Inc. (2017–present),Apollo Global Management companies,Unknown,Wikipedia
academyatswiftriver.com,Academy at Swift River,Academy at Swift River,Bain Capital companies,Unknown,Wikipedia
accuridecorporation.com,Accuride Corporation,Accuride Corporation,Bain Capital companies,Unknown,Wikipedia
ahlstrommunksj.com,Ahlstrom-Munksjö,Ahlstrom-Munksjö,Bain Capital companies,Unknown,Wikipedia
akkaio.com,Akka.io,Akka.io,Bain Capital companies,Unknown,Wikipedia
americanstandardbrands.com,American Standard Brands,American Standard Brands,Bain Capital companies,Unknown,Wikipedia
apextool.com,Apex Tool,Apex Tool Group,Bain Capital companies,Unknown,Wikipedia
appassure.com,AppAssure,AppAssure,Bain Capital companies,Unknown,Wikipedia
appleleisure.com,Apple Leisure,Apple Leisure Group,Kohlberg Kravis Roberts companies,Unknown,Wikipedia
arajet.com,Arajet,Arajet,Bain Capital companies,Unknown,Wikipedia
armitageshanks.com,Armitage Shanks,Armitage Shanks,Bain Capital companies,Unknown,Wikipedia
artisanentertainment.com,Artisan Entertainment,Artisan Entertainment,Bain Capital companies,Unknown,Wikipedia
asatsudk.com,Asatsu-DK,Asatsu-DK,Bain Capital companies,Unknown,Wikipedia
ashworthcollege.com,Ashworth College,Ashworth College,Bain Capital companies,Unknown,Wikipedia
asimcotechnologies.com,ASIMCO Technologies,ASIMCO Technologies,Bain Capital companies,Unknown,Wikipedia
aspeneducation.com,Aspen Education,Aspen Education Group,Warburg Pincus companies,Unknown,Wikipedia
athenahealth.com,Athenahealth,Athenahealth,Bain Capital companies,Unknown,Wikipedia
bavariayachtbau.com,Bavaria Yachtbau,Bavaria Yachtbau,Bain Capital companies,Unknown,Wikipedia
benchaccounting.com,Bench Accounting,Bench Accounting,Bain Capital companies,Unknown,Wikipedia
